Subject,Condition,Task,Speed,EventCycle,Pain_pred
1,normal,WithTask,Slow,0.0,2.9600941311334235
1,normal,WithTask,Slow,1.0,0.03301904748913612
1,normal,WithTask,Slow,2.0,0.02262635641559381
1,normal,WithTask,Slow,3.0,0.007460288338366976
1,normal,WithTask,Slow,4.0,0.007460288338366976
1,normal,WithTask,Slow,5.0,0.007848332116121178
1,normal,WithTask,Slow,6.0,0.007992101378980977
1,normal,WithTask,Slow,7.0,0.034759223718976405
1,normal,WithTask,Slow,8.0,0.007460288338366976
1,normal,WithTask,Slow,9.0,0.007460288338366976
1,normal,WithTask,Slow,10.0,0.007460288338366976
1,normal,WithTask,Slow,11.0,0.010353108737980038
1,normal,WithTask,Slow,12.0,0.007463226942080245
1,normal,WithTask,Slow,13.0,0.007460288338366976
1,normal,WithTask,Slow,14.0,0.02413339546543892
1,normal,WithTask,Slow,15.0,0.007460288338366976
1,normal,WithTask,Slow,16.0,0.007460288338366976
1,normal,WithTask,Slow,17.0,0.03611666519567662
1,normal,WithTask,Slow,18.0,0.14535536389486414
1,normal,WithTask,Slow,19.0,0.027143752372248302
1,normal,WithTask,Slow,20.0,0.02380722110620397
1,normal,WithTask,Slow,21.0,0.038688534002463554
1,normal,WithTask,Slow,22.0,0.007460288338366976
1,normal,WithTask,Slow,23.0,0.017544445776020653
1,normal,WithTask,Slow,24.0,0.007568662906280027
1,normal,WithTask,Slow,25.0,0.007460288338366976
1,normal,WithTask,Slow,26.0,0.023134994550305744
1,normal,WithTask,Slow,27.0,0.007460288338366976
1,normal,WithTask,Slow,28.0,0.007460288338366976
1,normal,WithTask,Slow,29.0,0.02998003347761859
1,normal,WithTask,Slow,30.0,0.022552810869579058
1,normal,WithTask,Slow,31.0,0.007460288338366976
1,normal,WithTask,Slow,32.0,0.007460288338366976
1,normal,WithTask,Slow,33.0,0.02445005614386845
1,normal,WithTask,Slow,34.0,0.007460288338366976
1,normal,WithTask,Slow,35.0,0.008869399113914251
1,normal,WithTask,Slow,36.0,0.007463629542484282
1,normal,WithTask,Slow,37.0,0.0074635729449697465
1,normal,WithTask,Slow,38.0,0.010799630524149877
1,normal,WithTask,Slow,39.0,0.007460288338366976
1,normal,WithTask,Slow,40.0,0.007460288338366976
1,normal,WithTask,Slow,41.0,0.007460288338366976
1,normal,WithTask,Slow,42.0,0.007470690771338721
1,normal,WithTask,Slow,43.0,0.009608771968098381
1,normal,WithTask,Slow,44.0,0.0074701030059678986
1,normal,WithTask,Slow,45.0,0.007460288338366976
1,normal,WithTask,Slow,46.0,0.02281857284073272
1,normal,WithTask,Slow,47.0,0.007460288338366976
1,normal,WithTask,Slow,48.0,0.007460288338366976
1,normal,WithTask,Slow,49.0,0.03446779942444827
1,normal,WithTask,Slow,50.0,0.021652154866972743
1,normal,WithTask,Slow,51.0,0.007460288338366976
1,normal,WithTask,Slow,52.0,0.007460288338366976
1,normal,WithTask,Slow,53.0,0.021798151952769698
1,normal,WithTask,Slow,54.0,0.024325086612616103
1,normal,WithTask,Slow,55.0,0.0076207137326883565
1,normal,WithTask,Slow,56.0,0.007606238506622123
1,normal,WithTask,Slow,57.0,0.007460288338366976
1,normal,WithTask,Slow,58.0,0.007460288338366976
1,normal,WithTask,Slow,59.0,0.013121655961890261
1,normal,WithTask,Slow,60.0,0.007460288338366976
1,normal,WithTask,Slow,61.0,0.007838875593574818
1,normal,WithTask,Slow,62.0,0.009852935044289357
1,normal,WithTask,Slow,63.0,0.007460288338366976
1,normal,WithTask,Slow,64.0,0.02210414339545245
1,normal,WithTask,Slow,65.0,0.007460288338366976
1,normal,WithTask,Slow,66.0,0.007460288338366976
1,normal,WithTask,Slow,67.0,0.014924224327655687
1,normal,WithTask,Slow,68.0,0.007460288338366976
1,normal,WithTask,Slow,69.0,0.007460288338366976
1,normal,WithTask,Slow,70.0,0.03467353966151549
1,normal,WithTask,Slow,71.0,0.008649295692453983
1,normal,WithTask,Slow,72.0,0.007460288338366976
1,normal,WithTask,Slow,73.0,0.007460288338366976
1,normal,WithTask,Slow,74.0,0.008704284731031362
1,normal,WithTask,Slow,75.0,0.03545723859603737
1,normal,WithTask,Slow,76.0,0.044010324318165976
1,normal,WithTask,Slow,77.0,0.007460288338366976
1,normal,WithTask,Slow,78.0,0.007460288338366976
1,normal,WithTask,Slow,79.0,0.02747174517323821
1,normal,WithTask,Slow,80.0,0.007460288338366976
1,normal,WithTask,Slow,81.0,0.007460288338366976
1,normal,WithTask,Slow,82.0,0.013080110070550596
1,normal,WithTask,Slow,83.0,0.007460288338366976
1,normal,WithTask,Slow,84.0,0.007460288338366976
1,normal,WithTask,Slow,85.0,0.02748365308976526
1,normal,WithTask,Slow,86.0,7.386138824858976
1,normal,WithTask,Slow,87.0,8.835886317655879
1,normal,WithTask,Slow,88.0,8.343524468324848
1,normal,WithTask,Slow,89.0,0.134312439338546
1,normal,WithTask,Slow,90.0,0.007460288338366976
1,normal,WithTask,Slow,91.0,0.014793681743047392
1,normal,WithTask,Slow,92.0,0.007532332949301773
1,normal,WithTask,Slow,93.0,0.007460288338366976
1,normal,WithTask,Slow,94.0,0.03972179219702119
1,normal,WithTask,Slow,95.0,0.007460288338366976
1,normal,WithTask,Slow,96.0,0.007460288338366976
1,normal,WithTask,Slow,97.0,0.04051669502636855
1,normal,WithTask,Slow,98.0,0.008126273585559184
1,normal,WithTask,Slow,99.0,0.011342663011092527
1,normal,WithTask,Slow,100.0,0.011375844562610338
