Subject,Condition,Task,Speed,EventCycle,Pain_pred
1,normal,WithTask,Medium,0.0,0.7778763085426553
1,normal,WithTask,Medium,1.0,0.011156402125172365
1,normal,WithTask,Medium,2.0,0.007914354189579814
1,normal,WithTask,Medium,3.0,0.0075365707655099
1,normal,WithTask,Medium,4.0,0.007614225816892125
1,normal,WithTask,Medium,5.0,0.009853156733410463
1,normal,WithTask,Medium,6.0,0.017920198169101075
1,normal,WithTask,Medium,7.0,0.01987428582855161
1,normal,WithTask,Medium,8.0,0.052361962132584955
1,normal,WithTask,Medium,9.0,0.026700594730228455
1,normal,WithTask,Medium,10.0,0.02527255703945825
1,normal,WithTask,Medium,11.0,0.015533304702984
1,normal,WithTask,Medium,12.0,0.007460288338366976
1,normal,WithTask,Medium,13.0,0.007460288338366976
1,normal,WithTask,Medium,14.0,0.007689660048079978
1,normal,WithTask,Medium,15.0,0.14949565019961927
1,normal,WithTask,Medium,16.0,0.242374838883317
1,normal,WithTask,Medium,17.0,0.24095052433000214
1,normal,WithTask,Medium,18.0,0.24062277467733514
1,normal,WithTask,Medium,19.0,0.02548900210579652
1,normal,WithTask,Medium,20.0,0.007460288338366976
1,normal,WithTask,Medium,21.0,0.007460288338366976
1,normal,WithTask,Medium,22.0,0.007488607766510003
1,normal,WithTask,Medium,23.0,0.016759309213005325
1,normal,WithTask,Medium,24.0,0.00971894534501723
1,normal,WithTask,Medium,25.0,0.009623152841035158
1,normal,WithTask,Medium,26.0,0.012853224543222108
1,normal,WithTask,Medium,27.0,0.010092759613740353
1,normal,WithTask,Medium,28.0,0.007460288338366976
1,normal,WithTask,Medium,29.0,0.007460288338366976
1,normal,WithTask,Medium,30.0,0.010944858158962885
1,normal,WithTask,Medium,31.0,0.007460288338366976
1,normal,WithTask,Medium,32.0,0.007460288338366976
1,normal,WithTask,Medium,33.0,0.008809504312441607
1,normal,WithTask,Medium,34.0,0.010167649425786811
1,normal,WithTask,Medium,35.0,0.007460288338366976
1,normal,WithTask,Medium,36.0,0.007460288338366976
1,normal,WithTask,Medium,37.0,0.038340790613739656
1,normal,WithTask,Medium,38.0,0.01631264696986218
1,normal,WithTask,Medium,39.0,0.015626637137421802
1,normal,WithTask,Medium,40.0,0.013474884933202038
1,normal,WithTask,Medium,41.0,0.01268174743550318
1,normal,WithTask,Medium,42.0,0.007460288338366976
1,normal,WithTask,Medium,43.0,0.007460288338366976
1,normal,WithTask,Medium,44.0,0.016007489210372632
1,normal,WithTask,Medium,45.0,0.007460288338366976
1,normal,WithTask,Medium,46.0,0.007460288338366976
1,normal,WithTask,Medium,47.0,0.010437540730979102
1,normal,WithTask,Medium,48.0,0.021017136302754428
1,normal,WithTask,Medium,49.0,0.007460288338366976
1,normal,WithTask,Medium,50.0,0.007460288338366976
1,normal,WithTask,Medium,51.0,0.03216217280264344
1,normal,WithTask,Medium,52.0,0.007460288338366976
1,normal,WithTask,Medium,53.0,0.007460288338366976
1,normal,WithTask,Medium,54.0,0.008821977074196921
1,normal,WithTask,Medium,55.0,0.007460288338366976
1,normal,WithTask,Medium,56.0,0.007460288338366976
1,normal,WithTask,Medium,57.0,0.007478497980824738
1,normal,WithTask,Medium,58.0,0.03304963137825987
1,normal,WithTask,Medium,59.0,0.026462323925200093
1,normal,WithTask,Medium,60.0,0.026203062150326566
1,normal,WithTask,Medium,61.0,0.024260323730635608
1,normal,WithTask,Medium,62.0,0.009068980310465442
1,normal,WithTask,Medium,63.0,0.007460288338366976
1,normal,WithTask,Medium,64.0,0.007460288338366976
1,normal,WithTask,Medium,65.0,0.0748966829237832
1,normal,WithTask,Medium,66.0,0.0288328411165865
1,normal,WithTask,Medium,67.0,0.02655483874647511
1,normal,WithTask,Medium,68.0,0.010991368724509896
1,normal,WithTask,Medium,69.0,0.024034321819362072
1,normal,WithTask,Medium,70.0,0.007460288338366976
1,normal,WithTask,Medium,71.0,0.007460288338366976
1,normal,WithTask,Medium,72.0,0.022886024878140725
1,normal,WithTask,Medium,73.0,0.03994885865488138
1,normal,WithTask,Medium,74.0,0.02952684622009732
1,normal,WithTask,Medium,75.0,0.0287928573404975
1,normal,WithTask,Medium,76.0,0.02266196418883124
1,normal,WithTask,Medium,77.0,0.01191942018578725
1,normal,WithTask,Medium,78.0,0.007460288338366976
1,normal,WithTask,Medium,79.0,0.007460288338366976
1,normal,WithTask,Medium,80.0,0.04834606513137545
1,normal,WithTask,Medium,81.0,0.014710483564994143
1,normal,WithTask,Medium,82.0,0.013951944901865439
1,normal,WithTask,Medium,83.0,0.015965440084631664
1,normal,WithTask,Medium,84.0,0.010213562523636656
1,normal,WithTask,Medium,85.0,0.007460288338366976
1,normal,WithTask,Medium,86.0,0.007460288338366976
1,normal,WithTask,Medium,87.0,0.05405734245981058
1,normal,WithTask,Medium,88.0,0.022720952707387283
1,normal,WithTask,Medium,89.0,0.02137517508186788
1,normal,WithTask,Medium,90.0,0.011927691807285954
1,normal,WithTask,Medium,91.0,0.026111054134192364
1,normal,WithTask,Medium,92.0,0.007460288338366976
1,normal,WithTask,Medium,93.0,0.007460288338366976
1,normal,WithTask,Medium,94.0,0.21425994551290214
1,normal,WithTask,Medium,95.0,0.06784340213586765
1,normal,WithTask,Medium,96.0,0.05715923342928682
1,normal,WithTask,Medium,97.0,0.012897973092207046
1,normal,WithTask,Medium,98.0,0.04026460550053029
1,normal,WithTask,Medium,99.0,0.01597444482071165
1,normal,WithTask,Medium,100.0,0.007790447324728742
