Subject,Condition,Task,Speed,EventCycle,Pain_pred
1,normal,WithTask,Fast,0.0,6.654702151383273
1,normal,WithTask,Fast,1.0,0.010640912896580278
1,normal,WithTask,Fast,2.0,0.009425247317138332
1,normal,WithTask,Fast,3.0,0.009119124861744071
1,normal,WithTask,Fast,4.0,0.019878371504258835
1,normal,WithTask,Fast,5.0,0.007460288338366976
1,normal,WithTask,Fast,6.0,0.007460288338366976
1,normal,WithTask,Fast,7.0,0.007460288338366976
1,normal,WithTask,Fast,8.0,0.007460288338366976
1,normal,WithTask,Fast,9.0,0.008385743770638797
1,normal,WithTask,Fast,10.0,0.008154495901433545
1,normal,WithTask,Fast,11.0,0.007460288338366976
1,normal,WithTask,Fast,12.0,0.007460288338366976
1,normal,WithTask,Fast,13.0,0.015596792108013891
1,normal,WithTask,Fast,14.0,0.0164639503081439
1,normal,WithTask,Fast,15.0,0.007460288338366976
1,normal,WithTask,Fast,16.0,0.007460288338366976
1,normal,WithTask,Fast,17.0,0.009632227944675583
1,normal,WithTask,Fast,18.0,0.015547400796388132
1,normal,WithTask,Fast,19.0,0.008366095231342404
1,normal,WithTask,Fast,20.0,0.007885199345289544
1,normal,WithTask,Fast,21.0,0.007460288338366976
1,normal,WithTask,Fast,22.0,0.00786271778258654
1,normal,WithTask,Fast,23.0,0.01257218807971056
1,normal,WithTask,Fast,24.0,0.007460288338366976
1,normal,WithTask,Fast,25.0,0.007460288338366976
1,normal,WithTask,Fast,26.0,0.007460288338366976
1,normal,WithTask,Fast,27.0,0.008902745742300962
1,normal,WithTask,Fast,28.0,0.008880882068727421
1,normal,WithTask,Fast,29.0,0.007642070921695934
1,normal,WithTask,Fast,30.0,0.007460288338366976
1,normal,WithTask,Fast,31.0,0.007460288338366976
1,normal,WithTask,Fast,32.0,0.01101435051265226
1,normal,WithTask,Fast,33.0,0.007460288338366976
1,normal,WithTask,Fast,34.0,0.007460288338366976
1,normal,WithTask,Fast,35.0,0.008223096889611706
1,normal,WithTask,Fast,36.0,0.008229876238402623
1,normal,WithTask,Fast,37.0,0.012406062481150254
1,normal,WithTask,Fast,38.0,0.012663887108657552
1,normal,WithTask,Fast,39.0,0.0665344908841469
1,normal,WithTask,Fast,40.0,0.028359674932953126
1,normal,WithTask,Fast,41.0,0.02639905368368852
1,normal,WithTask,Fast,42.0,0.04126816364225146
1,normal,WithTask,Fast,43.0,0.026991039313727525
1,normal,WithTask,Fast,44.0,0.01610580835666609
1,normal,WithTask,Fast,45.0,0.011125415948982312
1,normal,WithTask,Fast,46.0,0.0125200429307858
1,normal,WithTask,Fast,47.0,0.0235084417043968
1,normal,WithTask,Fast,48.0,0.01115221082556566
1,normal,WithTask,Fast,49.0,0.010541252908678389
1,normal,WithTask,Fast,50.0,0.007746266220865968
1,normal,WithTask,Fast,51.0,0.007460288338366976
1,normal,WithTask,Fast,52.0,0.009318960869882837
1,normal,WithTask,Fast,53.0,0.007460288338366976
1,normal,WithTask,Fast,54.0,0.007460288338366976
1,normal,WithTask,Fast,55.0,0.04587421169338303
1,normal,WithTask,Fast,56.0,0.017267901637887297
1,normal,WithTask,Fast,57.0,0.007460288338366976
1,normal,WithTask,Fast,58.0,0.007460288338366976
1,normal,WithTask,Fast,59.0,0.027615854946958337
1,normal,WithTask,Fast,60.0,0.0251590785937147
1,normal,WithTask,Fast,61.0,0.008494498208504066
1,normal,WithTask,Fast,62.0,0.007798757891029777
1,normal,WithTask,Fast,63.0,0.007460288338366976
1,normal,WithTask,Fast,64.0,0.008459974491450101
1,normal,WithTask,Fast,65.0,0.007460288338366976
1,normal,WithTask,Fast,66.0,0.007460288338366976
1,normal,WithTask,Fast,67.0,0.016916463975917357
1,normal,WithTask,Fast,68.0,0.018082414760141656
1,normal,WithTask,Fast,69.0,0.015063600760982385
1,normal,WithTask,Fast,70.0,0.007460288338366976
1,normal,WithTask,Fast,71.0,0.007460288338366976
1,normal,WithTask,Fast,72.0,0.007460288338366976
1,normal,WithTask,Fast,73.0,0.009206864536269194
1,normal,WithTask,Fast,74.0,0.00957623291613325
1,normal,WithTask,Fast,75.0,0.00959388764431381
1,normal,WithTask,Fast,76.0,0.00959742249006856
1,normal,WithTask,Fast,77.0,0.011877467980424626
1,normal,WithTask,Fast,78.0,3.210005496521156
1,normal,WithTask,Fast,79.0,7.7488552663446715
1,normal,WithTask,Fast,80.0,7.928371609798345
1,normal,WithTask,Fast,81.0,0.05464098325908345
1,normal,WithTask,Fast,82.0,0.014070138043136293
1,normal,WithTask,Fast,83.0,0.01136893307780647
1,normal,WithTask,Fast,84.0,0.011185815429785717
1,normal,WithTask,Fast,85.0,0.01236228723173487
1,normal,WithTask,Fast,86.0,0.011954152552982345
1,normal,WithTask,Fast,87.0,0.011387255710286948
1,normal,WithTask,Fast,88.0,0.00750072971032246
1,normal,WithTask,Fast,89.0,0.007499166088224511
1,normal,WithTask,Fast,90.0,0.011145710045167304
1,normal,WithTask,Fast,91.0,0.01771664217387939
1,normal,WithTask,Fast,92.0,0.016302270568339428
1,normal,WithTask,Fast,93.0,0.007460288338366976
1,normal,WithTask,Fast,94.0,0.007460288338366976
1,normal,WithTask,Fast,95.0,0.007460288338366976
1,normal,WithTask,Fast,96.0,0.007460288338366976
1,normal,WithTask,Fast,97.0,0.008685600727349332
1,normal,WithTask,Fast,98.0,0.007460288338366976
1,normal,WithTask,Fast,99.0,0.00929721566458561
1,normal,WithTask,Fast,100.0,0.009337132112584778
