Subject,Condition,Task,Speed,EventCycle,Pain_pred
1,normal,Rest,Medium,0.0,1.0116692499515996
1,normal,Rest,Medium,1.0,0.2789688314843929
1,normal,Rest,Medium,2.0,0.007460288338366976
1,normal,Rest,Medium,3.0,0.007460288338366976
1,normal,Rest,Medium,4.0,0.009202411431427533
1,normal,Rest,Medium,5.0,0.03538881018601236
1,normal,Rest,Medium,6.0,0.014018429767309434
1,normal,Rest,Medium,7.0,0.007460288338366976
1,normal,Rest,Medium,8.0,0.012989497981136964
1,normal,Rest,Medium,9.0,0.05032258936990829
1,normal,Rest,Medium,10.0,0.009279063863332535
1,normal,Rest,Medium,11.0,0.02564357399608932
1,normal,Rest,Medium,12.0,0.009295600544751778
1,normal,Rest,Medium,13.0,0.008583305683852715
1,normal,Rest,Medium,14.0,0.06802142940395065
1,normal,Rest,Medium,15.0,0.007460288338366976
1,normal,Rest,Medium,16.0,0.007460288338366976
1,normal,Rest,Medium,17.0,0.008252889447207831
1,normal,Rest,Medium,18.0,0.1672388593859257
1,normal,Rest,Medium,19.0,0.11848904083613701
1,normal,Rest,Medium,20.0,0.08791785356201862
1,normal,Rest,Medium,21.0,0.0837966023206187
1,normal,Rest,Medium,22.0,0.036341390435880444
1,normal,Rest,Medium,23.0,0.04342278395857782
1,normal,Rest,Medium,24.0,0.02392252448477282
1,normal,Rest,Medium,25.0,0.007460288338366976
1,normal,Rest,Medium,26.0,0.007460288338366976
1,normal,Rest,Medium,27.0,0.04266738382844989
1,normal,Rest,Medium,28.0,0.012921981927693444
1,normal,Rest,Medium,29.0,0.007892125714921833
1,normal,Rest,Medium,30.0,0.007460288338366976
1,normal,Rest,Medium,31.0,0.007460288338366976
1,normal,Rest,Medium,32.0,0.04302372390514535
1,normal,Rest,Medium,33.0,0.02089494461325064
1,normal,Rest,Medium,34.0,0.007460288338366976
1,normal,Rest,Medium,35.0,0.007460288338366976
1,normal,Rest,Medium,36.0,0.04697933134694475
1,normal,Rest,Medium,37.0,0.13712420722797514
1,normal,Rest,Medium,38.0,0.04530483807984362
1,normal,Rest,Medium,39.0,0.04014607058275346
1,normal,Rest,Medium,40.0,0.011823317244290456
1,normal,Rest,Medium,41.0,0.01585536450021826
1,normal,Rest,Medium,42.0,0.042722425286399926
1,normal,Rest,Medium,43.0,0.009768045813482874
1,normal,Rest,Medium,44.0,0.007460288338366976
1,normal,Rest,Medium,45.0,0.007460288338366976
1,normal,Rest,Medium,46.0,1.018095634984537
1,normal,Rest,Medium,47.0,0.19165023912954962
1,normal,Rest,Medium,48.0,0.1293231666120183
1,normal,Rest,Medium,49.0,0.03310670953101306
1,normal,Rest,Medium,50.0,0.04149136249047823
1,normal,Rest,Medium,51.0,0.031656218489430996
1,normal,Rest,Medium,52.0,0.007460288338366976
1,normal,Rest,Medium,53.0,0.007460288338366976
1,normal,Rest,Medium,54.0,0.04339508551247521
1,normal,Rest,Medium,55.0,0.15166279422843662
1,normal,Rest,Medium,56.0,0.05501219417344351
1,normal,Rest,Medium,57.0,0.04869767364597029
1,normal,Rest,Medium,58.0,0.018026783125523357
1,normal,Rest,Medium,59.0,0.027123639148903027
1,normal,Rest,Medium,60.0,0.015106234180293672
1,normal,Rest,Medium,61.0,0.01541613543098274
1,normal,Rest,Medium,62.0,0.007460288338366976
1,normal,Rest,Medium,63.0,0.007460288338366976
1,normal,Rest,Medium,64.0,0.07293110048492907
1,normal,Rest,Medium,65.0,0.019650553399714246
1,normal,Rest,Medium,66.0,0.014913485046530707
1,normal,Rest,Medium,67.0,0.010988214126355807
1,normal,Rest,Medium,68.0,0.010346142900203718
1,normal,Rest,Medium,69.0,0.02163217086567565
1,normal,Rest,Medium,70.0,0.03378295720218466
1,normal,Rest,Medium,71.0,0.007460288338366976
1,normal,Rest,Medium,72.0,0.007460288338366976
1,normal,Rest,Medium,73.0,0.025740438328557273
1,normal,Rest,Medium,74.0,0.019720542767830238
1,normal,Rest,Medium,75.0,0.41616303654467224
1,normal,Rest,Medium,76.0,0.4398910098166893
1,normal,Rest,Medium,77.0,0.01685741969291441
1,normal,Rest,Medium,78.0,0.007460288338366976
1,normal,Rest,Medium,79.0,0.05364767937692957
1,normal,Rest,Medium,80.0,0.0116033128238558
1,normal,Rest,Medium,81.0,0.007460288338366976
1,normal,Rest,Medium,82.0,0.007460288338366976
1,normal,Rest,Medium,83.0,0.014681133373102232
1,normal,Rest,Medium,84.0,0.17829505832605758
1,normal,Rest,Medium,85.0,0.029948151537066207
1,normal,Rest,Medium,86.0,0.04163125448876793
1,normal,Rest,Medium,87.0,0.03980068830519095
1,normal,Rest,Medium,88.0,0.024598483090405274
1,normal,Rest,Medium,89.0,0.010956077101090245
1,normal,Rest,Medium,90.0,0.07249617526890902
1,normal,Rest,Medium,91.0,0.009611725389943754
1,normal,Rest,Medium,92.0,0.007544807490646454
1,normal,Rest,Medium,93.0,0.00754067741713934
1,normal,Rest,Medium,94.0,0.007460288338366976
1,normal,Rest,Medium,95.0,0.044919593650051985
1,normal,Rest,Medium,96.0,0.17652737480192748
1,normal,Rest,Medium,97.0,0.4680360061253901
1,normal,Rest,Medium,98.0,0.45508308094854943
1,normal,Rest,Medium,99.0,0.44914735030921055
1,normal,Rest,Medium,100.0,0.17739875092415577
