Subject,Condition,Task,Speed,EventCycle,Pain_pred
1,normal,Rest,Medium,0.0,0.9259346917180498
1,normal,Rest,Medium,1.0,7.753896795637152
1,normal,Rest,Medium,2.0,0.4889512653879267
1,normal,Rest,Medium,3.0,0.24789620713545307
1,normal,Rest,Medium,4.0,0.01998165478666153
1,normal,Rest,Medium,5.0,0.04734099208876891
1,normal,Rest,Medium,6.0,0.010198853103456355
1,normal,Rest,Medium,7.0,0.007460288338366976
1,normal,Rest,Medium,8.0,0.009734119467455832
1,normal,Rest,Medium,9.0,2.723561667209551
1,normal,Rest,Medium,10.0,1.8005322122647687
1,normal,Rest,Medium,11.0,1.1997778588670718
1,normal,Rest,Medium,12.0,0.918123142612248
1,normal,Rest,Medium,13.0,0.0377323991718145
1,normal,Rest,Medium,14.0,0.10966738353323649
1,normal,Rest,Medium,15.0,0.00793842915570905
1,normal,Rest,Medium,16.0,0.007460288338366976
1,normal,Rest,Medium,17.0,0.007460288338366976
1,normal,Rest,Medium,18.0,0.4477806635030565
1,normal,Rest,Medium,19.0,0.4317618053340949
1,normal,Rest,Medium,20.0,1.1138611879299756
1,normal,Rest,Medium,21.0,1.2091239587130957
1,normal,Rest,Medium,22.0,1.21714049862577
1,normal,Rest,Medium,23.0,0.11001561041287172
1,normal,Rest,Medium,24.0,0.02617484808437725
1,normal,Rest,Medium,25.0,0.007460288338366976
1,normal,Rest,Medium,26.0,0.007460288338366976
1,normal,Rest,Medium,27.0,0.07031248429344715
1,normal,Rest,Medium,28.0,0.19329241275448397
1,normal,Rest,Medium,29.0,0.18664127292262503
1,normal,Rest,Medium,30.0,0.1790027979969242
1,normal,Rest,Medium,31.0,0.14613477550886936
1,normal,Rest,Medium,32.0,0.11448333464370705
1,normal,Rest,Medium,33.0,0.013034375923862418
1,normal,Rest,Medium,34.0,0.007460288338366976
1,normal,Rest,Medium,35.0,0.007460288338366976
1,normal,Rest,Medium,36.0,0.01790031746408675
1,normal,Rest,Medium,37.0,1.4703743155275482
1,normal,Rest,Medium,38.0,2.782187432846884
1,normal,Rest,Medium,39.0,2.4039798575758136
1,normal,Rest,Medium,40.0,0.9546993223621114
1,normal,Rest,Medium,41.0,0.016625000586045456
1,normal,Rest,Medium,42.0,0.07089542860094993
1,normal,Rest,Medium,43.0,0.007460288338366976
1,normal,Rest,Medium,44.0,0.007460288338366976
1,normal,Rest,Medium,45.0,0.007540081914437317
1,normal,Rest,Medium,46.0,0.19715816351624302
1,normal,Rest,Medium,47.0,0.12368918902640703
1,normal,Rest,Medium,48.0,0.09346375720432527
1,normal,Rest,Medium,49.0,0.03388269868094537
1,normal,Rest,Medium,50.0,0.017752598456785073
1,normal,Rest,Medium,51.0,0.044429007151733806
1,normal,Rest,Medium,52.0,0.007460288338366976
1,normal,Rest,Medium,53.0,0.007460288338366976
1,normal,Rest,Medium,54.0,0.04093912243169442
1,normal,Rest,Medium,55.0,0.7230923639734748
1,normal,Rest,Medium,56.0,0.5310001900644569
1,normal,Rest,Medium,57.0,0.4691958900563364
1,normal,Rest,Medium,58.0,0.35646459722228674
1,normal,Rest,Medium,59.0,0.05354077906523564
1,normal,Rest,Medium,60.0,0.03656789146681304
1,normal,Rest,Medium,61.0,0.007460288338366976
1,normal,Rest,Medium,62.0,0.007460288338366976
1,normal,Rest,Medium,63.0,0.009926924836600274
1,normal,Rest,Medium,64.0,0.06210399422863981
1,normal,Rest,Medium,65.0,0.07036894811874173
1,normal,Rest,Medium,66.0,0.08390984592520985
1,normal,Rest,Medium,67.0,0.08155874858679225
1,normal,Rest,Medium,68.0,0.05844220922580986
1,normal,Rest,Medium,69.0,0.02859988291452932
1,normal,Rest,Medium,70.0,0.03892291377791709
1,normal,Rest,Medium,71.0,0.007460288338366976
1,normal,Rest,Medium,72.0,0.007460288338366976
1,normal,Rest,Medium,73.0,0.023338575049465984
1,normal,Rest,Medium,74.0,0.33597524456611416
1,normal,Rest,Medium,75.0,0.6932657788202281
1,normal,Rest,Medium,76.0,0.6248575777094606
1,normal,Rest,Medium,77.0,0.6072980979818007
1,normal,Rest,Medium,78.0,0.016847430982739636
1,normal,Rest,Medium,79.0,0.04871715950478253
1,normal,Rest,Medium,80.0,0.012271837710297865
1,normal,Rest,Medium,81.0,0.007460288338366976
1,normal,Rest,Medium,82.0,0.007460288338366976
1,normal,Rest,Medium,83.0,0.01452885145388992
1,normal,Rest,Medium,84.0,1.1582709599975807
1,normal,Rest,Medium,85.0,0.5412950089900993
1,normal,Rest,Medium,86.0,1.5884559594396532
1,normal,Rest,Medium,87.0,0.6214587506537077
1,normal,Rest,Medium,88.0,0.022102944706671714
1,normal,Rest,Medium,89.0,0.011846854051242384
1,normal,Rest,Medium,90.0,0.07937188208244633
1,normal,Rest,Medium,91.0,0.011260265855411188
1,normal,Rest,Medium,92.0,0.00748985132349701
1,normal,Rest,Medium,93.0,0.007460288338366976
1,normal,Rest,Medium,94.0,0.007487735562070604
1,normal,Rest,Medium,95.0,0.03208103014355807
1,normal,Rest,Medium,96.0,0.3781115079723983
1,normal,Rest,Medium,97.0,0.1346766827083412
1,normal,Rest,Medium,98.0,0.11191824038470892
1,normal,Rest,Medium,99.0,0.06960082565695726
1,normal,Rest,Medium,100.0,0.2038775614934583
