model,split,n,accuracy,precision,recall,f1,roc_auc,brier
knn,train,24,1.0,1.0,1.0,1.0,1.0,0.0
knn,test,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9722222222222223,0.0761730503422947
decision_tree,train,24,1.0,1.0,1.0,1.0,1.0,0.0
decision_tree,test,12,1.0,1.0,1.0,1.0,1.0,0.0
naive_bayes,train,24,1.0,1.0,1.0,1.0,1.0,0.0
naive_bayes,test,12,1.0,1.0,1.0,1.0,1.0,0.0
lda,train,24,1.0,1.0,1.0,1.0,1.0,9.156655291733612e-06
lda,test,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9722222222222223,0.12873527476888338
logistic,train,24,1.0,1.0,1.0,1.0,1.0,0.005528948650076622
logistic,test,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9722222222222223,0.09552369014838057
